Jar,Exp,plot,Ring,CO2,N,NoSp,NoGrp,MonoSp,MonoGrp,D1.DRR,D4.DRR,D7.DRR,D13.DRR,D27.DRR,D46.DRR,D74.DRR,D152.DRR,D168.DRR,D222.DRR,D273.DRR,D324.DRR,D391.DRR,D1.CR,D4.CR,D7.CR,D13.CR,D27.CR,D46.CR,D74.CR,D152.CR,D168.CR,D222.CR,D273.CR,D324.CR,D391.CR,TC,NHC
1,e141,35,1,Cenrich,Namb,1,1,LespedezaCapitata,Legume,0.002929496,0.002213768,0.002492,0.001855243,0.001102506,0.001395705,0.001588144,0.001458812,0.00057507,0.001582,0.001285,0.00032,0.000948,0.0029295,0.0102865,0.0174844,0.0302079,0.0505358,0.0744154,0.1162855,0.2350521,0.2508813,0.3096337,0.382603,0.4230495,0.4658548,0.4923,1.68
2,e141,109,2,Camb,Namb,1,1,BromusInermis,C-3,0.00368339,0.002891996,0.002722,0.002369249,0.002103318,0.001914827,0.001352745,0.000717773,0.00057631,0.000683,0.00079,0.000019,0.000459,0.0036834,0.0131508,0.0214873,0.0365854,0.0677604,0.1058385,0.1513035,0.2317362,0.2420182,0.2760717,0.3136746,0.3339197,0.3501613,0.5208,2.06
3,e141,8,1,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,0.004961445,0.004268213,0.003611,0.002818698,0.002284065,NA,0.00165293,0.000995449,0.00131277,0.001233,0.000921,0.000579,0.000832,0.0049614,0.0184593,0.0299498,0.0488431,0.0842952,0.1245367,0.1750789,0.2780369,0.2966614,0.3653606,0.4201226,0.4581876,0.5055895,0.4708,1.79
4,e141,30,1,Cenrich,Nenrich,16,4,,,0.013094634,0.003673856,0.00769,0.006365884,0.006410298,0.004521677,0.003208344,0.001721149,0.00179458,0.00166,0.001546,0.001013,0.001358,0.0130946,0.033537,0.0525908,0.0940963,0.1835518,0.2864612,0.3940248,0.5855314,0.613694,0.7069001,0.7885944,0.8535694,0.933151,0.7594,2.57
5,e141,42,1,Cenrich,Namb,1,1,SolidagoRigida,Forb,0.006983131,0.004975495,0.003678,0.003124078,0.003026689,0.002325589,0.001942256,0.001480167,0.0010665,0.001467,0.00103,0.000714,0.000755,0.0069831,0.0239173,0.0362487,0.0563779,0.0993846,0.1498807,0.2094388,0.3426823,0.3628488,0.431447,0.494887,0.5391997,0.5884361,0.4752,1.63
6,e141,184,4,Camb,Namb,16,4,,,0.006938899,0.005709196,0.004794,0.003521084,0.003005643,0.002536959,0.001843174,0.001376395,0.00141087,0.00119,0.000537,0.000677,0.000914,0.0069389,0.0252962,0.0405942,0.064904,0.1103334,0.1627537,0.2237287,0.3490585,0.3713738,0.4414732,0.4851713,0.516206,0.5696198,0.6569,2.73
7,e141,209,4,Camb,Namb,1,1,AmorphaCanescens,Legume,0.0018191,0.001583571,0.001348,0.001639621,0.000697337,0.000597015,0.000477249,0.000827446,0.00042581,0.000488,0.000637,0.000326,0.000741,0.0018191,0.0068053,0.011085,0.0201938,0.0360813,0.0483275,0.0633073,0.1143656,0.1241908,0.1488892,0.1776335,0.202022,0.2379598,0.4958,1.9
8,e141,358,6,Camb,Namb,16,4,,,0.005826763,0.004306922,0.003458,0.002767428,0.002436345,0.001949011,0.001405109,0.00038466,0.00136255,0.001451,0.000791,0.0006,0.000309,0.0058268,0.0202674,0.0314895,0.0498196,0.0860805,0.1274977,0.1741834,0.2434741,0.2579408,0.3339499,0.3907826,0.4261558,0.4564742,0.6867,2.21
9,e141,18,1,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,0.00407945,0.002497343,0.002198,0.001936633,0.001279527,0.001445265,0.001298503,0.000587672,0.00088758,0.001564,0.000895,0.001133,0.000871,0.0040794,0.0131536,0.0200471,0.0323205,0.0545051,0.0804735,0.1188129,0.1920183,0.2039703,0.2704881,0.3328378,0.3846525,0.4516332,0.617,1.98
10,e141,43,1,Cenrich,Nenrich,16,4,,,0.007170035,0.004784699,0.003749,0.00360018,0.003410852,0.002914174,0.002315337,0.001257861,0.00133676,0.00118,0.001139,0.00073,0.000745,0.00717,0.0239095,0.0361931,0.0581675,0.1071501,0.1669895,0.2399032,0.3787292,0.3995255,0.4674068,0.5265149,0.5739538,0.6233623,0.6072,1.59
